disthash,pair_id
07853f76,14
09c3966f,38
0b302692,15
0c4a9e7c,13
0c92f920,36
0d1e3ccb,34
0e695f9f,4
15b5a749,28
188ae45b,38
196f4fd1,20
22a26988,33
247b0531,28
2568806d,17
297259d4,3
2c9636b1,17
2e0a86c3,9
335580ac,40
3b34c260,32
3c054e8f,6
3c73baaa,14
419b24e9,1
42504ec5,35
426d0912,26
4c6cbda0,9
4d59f3e6,27
5159be68,27
54c26aa6,13
59a2fd2c,35
59b04133,22
5abbecc7,32
5b1466b5,22
5b788486,36
5c4dcb04,7
5c8b8562,31
5f041769,16
6df6b429,12
7001d249,30
72d1d8e0,25
7454d961,40
749c3a9c,23
786f66b7,1
80ed54cc,26
85769450,4
89041198,15
8ce955f7,25
8ed5f728,3
9565590d,19
9a766899,18
9cbe05a0,11
a0530be6,2
b00c4734,39
b27404c2,31
b406895f,20
b923577c,6
ba353231,33
c12daf4e,24
c250de2d,2
c25e6958,30
c5524846,29
c5c35762,11
cbea7cbf,8
ce04df02,5
cfce48f2,29
d1030edf,39
d3ed46a4,12
d56fd7da,18
d86b84cb,23
d9024a8b,10
dbaa941c,24
e09ef457,7
e222a102,16
e4f3449c,21
e5b6ea7f,21
e5d2d035,37
e5f52cdf,5
e765ab1c,10
e77e76a7,8
f511d6e8,37
fb794055,34
ff099f99,19
